Nº de referencia,Actualizado por,Asunto,Buzón de correo,Cola,Creado por cuenta,Modo de Contacto,UsuarioIntra,Tipo de Incidente,Tipo de estado,Tipo Cobro,Siniestro,Poliza,NroCuenta,ID de producto,ID de incidente,ID de disposición,ID de contacto,ID de categoría,Grupo,FechaEfecto,Fecha de última respuesta,Fecha de última actualización,Fecha de creación,Fecha de cierre,Estado,Cuenta asignada,ID de organización
161021-238045,,Incidente importado desde SAC,,Daños Materiales Interior Sur,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288067,,7714541,Daños materiales Interior Sur,,,,'2021-04-28 13:20:00','2016-10-21 21:05:50','2016-10-21 21:05:50',Resuelto,,
161021-238047,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288069,,7166190,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:51','2016-10-21 21:05:51',Resuelto,,
161021-238048,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,HOM1 - SEGURO DEL HOGAR,288070,,5879125,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 21:05:51','2016-10-21 21:05:51',Atendido,,
161021-238049,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288071,,7573773,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:51','2016-10-21 21:05:51',Resuelto,,
161021-238050,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288072,,6588629,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:51','2016-10-21 21:05:51',Resuelto,,
161021-238051,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288073,,907610,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:51','2016-10-21 21:05:51',Resuelto,,
161021-238052,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288074,,553433,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:52','2016-10-21 21:05:52',Resuelto,,
161021-238053,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288075,,2701018,No pago,,,,'2021-04-28 13:20:00','2016-10-21 21:05:52','2016-10-21 21:05:52',Atendido,,
161021-238054,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288076,,7543165,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 21:05:52','2016-10-21 21:05:52',Atendido,,
161021-238055,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288077,,6218318,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:52','2016-10-21 21:05:52',Resuelto,,
161021-238057,,Incidente importado desde SAC,,Telecobranzas,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288079,,3100198,Contestador,,,,'2021-04-28 13:20:00','2016-10-21 21:05:52','2016-10-21 21:05:52',Atendido,,
161021-238059,,Incidente importado desde SAC,,Daños Materiales Autos,Usuario Importador,Telemarketing,,,Solucionado,,,,,AUS1 - AUTOMOTORES,288081,,5245296,Denuncia daños materiales,,,,'2021-04-28 13:20:00','2016-10-21 21:05:53','2016-10-21 21:05:53',Resuelto,,
